minute,door_heat,load_heat,ambient_C,capacity,sensor_bias_C
0,0.00000,0.00000,18.01090,1.00000,0.00000
1,0.00000,0.00000,17.95658,1.00000,0.00000
2,0.00000,0.00000,18.30496,1.00000,0.00000
3,0.00000,0.00000,17.31970,1.00000,0.00000
4,0.00000,0.00000,17.28659,1.00000,0.00000
5,0.00000,0.00000,18.17588,1.00000,0.00000
6,0.00000,0.00000,17.81122,1.00000,0.00000
7,0.00000,0.00000,17.67896,1.00000,0.00000
8,0.00000,0.00000,17.56326,1.00000,0.00000
9,0.00000,0.00000,17.87147,1.00000,0.00000
10,0.00000,0.00000,18.03518,1.00000,0.00000
11,0.00000,0.00000,17.24584,1.00000,0.00000
12,0.00000,0.00000,17.16320,1.00000,0.00000
13,0.00000,0.00000,17.14570,1.00000,0.00000
14,0.00000,0.00000,18.16877,1.00000,0.00000
15,0.00000,0.00000,17.54139,1.00000,0.00000
16,0.00000,0.00000,17.37612,1.00000,0.00000
17,0.00000,0.00000,17.05380,1.00000,0.00000
18,0.00000,0.00000,17.39374,1.00000,0.00000
19,0.00000,0.00000,17.65976,1.00000,0.00000
20,0.00000,0.00000,17.14508,1.00000,0.00000
21,0.00000,0.00000,18.24177,1.00000,0.00000
22,0.00000,0.00000,17.30857,1.00000,0.00000
23,0.00000,0.00000,17.47301,1.00000,0.00000
24,0.00000,0.00000,17.32324,1.00000,0.00000
25,0.00000,0.00000,17.94655,1.00000,0.00000
26,0.00000,0.00000,17.98035,1.00000,0.00000
27,0.00000,0.00000,17.57351,1.00000,0.00000
28,0.00000,0.00000,17.56063,1.00000,0.00000
29,0.00000,0.00000,17.31022,1.00000,0.00000
30,0.00000,0.00000,17.16320,1.00000,0.00000
31,0.00000,0.00000,16.78965,1.00000,0.00000
32,0.00000,0.00000,17.45676,1.00000,0.00000
33,0.00000,0.00000,17.68513,1.00000,0.00000
34,0.00000,0.00000,17.65740,1.00000,0.00000
35,0.00000,0.00000,17.72507,1.00000,0.00000
36,0.00000,0.00000,17.48523,1.00000,0.00000
37,0.00000,0.00000,17.73468,1.00000,0.00000
38,0.00000,0.00000,17.68508,1.00000,0.00000
39,0.00000,0.00000,17.25189,1.00000,0.00000
40,0.00000,0.00000,17.09470,1.00000,0.00000
41,0.00000,0.00000,17.21302,1.00000,0.00000
42,0.00000,0.00000,17.71897,1.00000,0.00000
43,0.00000,0.00000,17.30427,1.00000,0.00000
44,0.00000,0.00000,17.80109,1.00000,0.00000
45,0.00000,0.00000,17.63982,1.00000,0.00000
46,0.00000,0.00000,18.09026,1.00000,0.00000
47,0.00000,0.00000,17.66165,1.00000,0.00000
48,0.00000,0.00000,17.54590,1.00000,0.00000
49,0.00000,0.00000,16.73097,1.00000,0.00000
50,0.00000,0.00000,17.82800,1.00000,0.00000
51,0.00000,0.00000,18.02812,1.00000,0.00000
52,0.00000,0.00000,17.36769,1.00000,0.00000
53,0.00000,0.00000,17.12836,1.00000,0.00000
54,0.00000,0.00000,17.54377,1.00000,0.00000
55,0.00000,0.00000,17.69171,1.00000,0.00000
56,0.00000,0.00000,17.21180,1.00000,0.00000
57,0.00000,0.00000,17.53792,1.00000,0.00000
58,0.00000,0.00000,17.60035,1.00000,0.00000
59,0.00000,0.00000,17.59513,1.00000,0.00000
60,0.00000,0.00000,18.24713,1.00000,0.00000
61,0.00000,0.00000,16.86521,1.00000,0.00000
62,0.00000,0.00000,17.15384,1.00000,0.00000
63,0.00000,0.00000,18.20556,1.00000,0.00000
64,0.00000,0.00000,17.46031,1.00000,0.00000
65,0.00000,0.00000,17.41486,1.00000,0.00000
66,0.00000,0.00000,17.41637,1.00000,0.00000
67,0.00000,0.00000,17.37635,1.00000,0.00000
68,0.00000,0.00000,18.09352,1.00000,0.00000
69,0.00000,0.00000,17.33181,1.00000,0.00000
70,0.00000,0.00000,17.57298,1.00000,0.00000
71,0.00000,0.00000,17.31725,1.00000,0.00000
72,0.00000,0.00000,17.34585,1.00000,0.00000
73,0.00000,0.00000,17.47038,1.00000,0.00000
74,0.00000,0.00000,17.30210,1.00000,0.00000
75,0.00000,0.00000,17.47488,1.00000,0.00000
76,0.00000,0.00000,17.68737,1.00000,0.00000
77,0.00000,0.00000,17.14181,1.00000,0.00000
78,0.00000,0.00000,17.61333,1.00000,0.00000
79,0.00000,0.00000,18.25328,1.00000,0.00000
80,0.00000,0.00000,18.01912,1.00000,0.00000
81,0.00000,0.00000,17.54212,1.00000,0.00000
82,0.00000,0.00000,17.59636,1.00000,0.00000
83,0.00000,0.00000,17.63767,1.00000,0.00000
84,0.00000,0.00000,17.69951,1.00000,0.00000
85,0.00000,0.00000,17.15777,1.00000,0.00000
86,0.00000,0.00000,16.76603,1.00000,0.00000
87,0.00000,0.00000,17.34555,1.00000,0.00000
88,0.00000,0.00000,17.29553,1.00000,0.00000
89,0.00000,0.00000,17.59236,1.00000,0.00000
90,0.00000,0.00000,17.03588,1.00000,0.00000
91,0.00000,0.00000,17.49568,1.00000,0.00000
92,0.00000,0.00000,17.58760,1.00000,0.00000
93,0.00000,0.00000,17.03707,1.00000,0.00000
94,0.00000,0.00000,17.52734,1.00000,0.00000
95,0.00000,0.00000,17.10310,1.00000,0.00000
96,0.00000,0.00000,17.26582,1.00000,0.00000
97,0.00000,0.00000,17.71365,1.00000,0.00000
98,0.00000,0.00000,17.18564,1.00000,0.00000
99,0.00000,0.00000,17.22476,1.00000,0.00000
100,0.00000,0.00000,18.09022,1.00000,0.00000
101,0.00000,0.00000,18.07111,1.00000,0.00000
102,0.00000,0.00000,17.14904,1.00000,0.00000
103,0.00000,0.00000,17.58829,1.00000,0.00000
104,0.00000,0.00000,17.66218,1.00000,0.00000
105,0.00000,0.00000,16.71425,1.00000,0.00000
106,0.00000,0.00000,17.46425,1.00000,0.00000
107,0.00000,0.00000,18.01200,1.00000,0.00000
108,0.00000,0.00000,17.26351,1.00000,0.00000
109,0.00000,0.00000,17.85480,1.00000,0.00000
110,0.00000,0.00000,17.66906,1.00000,0.00000
111,0.00000,0.00000,17.82209,1.00000,0.00000
112,0.00000,0.00000,17.00234,1.00000,0.00000
113,0.00000,0.00000,17.82261,1.00000,0.00000
114,0.00000,0.00000,17.71249,1.00000,0.00000
115,0.00000,0.00000,17.23310,1.00000,0.00000
116,0.00000,0.00000,17.35629,1.00000,0.00000
117,0.00000,0.00000,17.58421,1.00000,0.00000
118,0.00000,0.00000,17.48926,1.00000,0.00000
119,0.00000,0.00000,17.79915,1.00000,0.00000
120,0.00000,0.00000,17.45900,1.00000,0.00000
121,0.00000,0.00000,18.23467,1.00000,0.00000
122,0.00000,0.00000,17.61343,1.00000,0.00000
123,0.00000,0.00000,16.97374,1.00000,0.00000
124,0.00000,0.00000,16.97898,1.00000,0.00000
125,0.00000,0.00000,17.67299,1.00000,0.00000
126,0.00000,0.00000,17.53182,1.00000,0.00000
127,0.00000,0.00000,17.91750,1.00000,0.00000
